order_id,city,region,category,sales,units,discount,profit,order_date
ORD001,Mumbai,West,Electronics,15000,5,0.1,3000.0,2024-01-15
ORD002,Delhi,North,Furniture,22000,2,0.0,4400.0,2024-01-18
ORD003,Pune,West,Electronics,8000,8,,1200.0,2024-02-02
ORD004,Mumbai,West,Clothing,12000,12,0.15,1800.0,2024-02-14
ORD005,Hyderabad,South,Furniture,19000,3,0.0,5700.0,2024-02-28
ORD006,Delhi,North,Electronics,25000,7,0.1,5000.0,2024-03-05
ORD007,Pune,West,Clothing,7000,15,0.25,700.0,2024-03-12
ORD008,Mumbai,West,Furniture,18000,4,0.0,,2024-03-22
ORD009,Hyderabad,South,Electronics,21000,6,0.05,6300.0,2024-04-01
ORD010,Delhi,North,Clothing,9000,10,0.2,900.0,2024-04-15
